source,target
"172 Know itself is limited to the degree of hard to sleep, seek help",១៧២ ចំណេះខ្លួនឯងនៅមានកំរិត កុំព្រួយដេកគិតស្វែងរកជំនួយ
173 Learn to observe the background of the warehouse full of knowledge,១៧៣ រៀនចេះអង្កេតមជ្ឈដ្ឋានជុំវិញ ឃ្លាំងផ្ទុកពោរពេញទៅដោយចំណេះ
174 When you leave it as its itself belongs to you,១៧៤ នៅពេលអ្នកទុកវាដូចជារបស់ខ្លួន វាជាកម្មសិទ្ធិរបស់អ្នក
"175 The fire burns the bird, opening the sky",១៧៥ ភ្លើងឆាបឆេះព្រឹក្សព្រៃ ខ្លាប្រែជាបក្សី ហើរសំដៅមេឃា
176 Strengthening capacity to increase confidence,១៧៦ ពង្រឹងសមត្ថភាព បង្កើនភាពជឿជាក់
177 in the village of Kramed those who were heads as a hero,១៧៧ នៅភូមិគ្រវីក្បាល អ្នកដែលងួកក្បាលជាវីរបុរស
178 Lovers on what is the top of the peak,១៧៨ ចូលចិត្តខាងអ្វី ខិតខំឃ្មាតខ្មី អោយដល់កំពូល
179 Walk out of the house to go into society,១៧៩ ដើរចេញពីផ្ទះ ឈានចូលសង្គម
"180 Clean plates, bottom of the stained bowls",១៨០ មុខចានស្អាត បាតចានប្រឡាក់
181 Always follow-up donation lacking,១៨១ ម្ចាស់ការគ្រប់ភារកិច្ច តាមដានជានិច្ចក្រែងខ្វះចន្លោះ
182 The face smiled up the eyes of the people and women counted in,១៨២ ទឹកមុខញញឹមទឹកចិត្តខន្ដី អស់ជនប្រុសស្រីគេរាប់ជាញាតិ
183 a pair of rumors at the same amount of magnificences to one side,១៨៣ ចង្កឹះមួយគូនៅមានតម្លៃ រាសីក្សិណក្ស័យពេលសល់តែម្ខាង
"184 You are getting poorer, the poorer is more",១៨៤ អ្នកមានកាន់តែក្រ អ្នកក្រកាន់តែមាន
185 Was wandered in the wedver vowel wake awake when nothing regularly,១៨៥ វង្វេងវង្វាន់វាលវដ្ដសង្សារ ភ្ញាក់ខ្លួនពេលណាគ្មានអ្វីទៀងទាត់
186 A full-hand enforcing letter when the stomach is sold ten riel,១៨៦ លិខិតសរសើរមេដៃពេញផ្ទះ ពេលស្វិតក្រពះលក់បានដប់រៀល
"187 Maught up a big thing, forget the crabs to forget the snails when they were no longer",១៨៧ បានឡើងធ្វើធំភ្លេចក្ដាមភ្លេចខ្យង ពេលធ្លាក់ខ្លួនម្ដងលែងមានអ្នកក្បែរ
188 Don't be able to keep yourself in one skill to try to build the other,១៨៨ កុំឃាំងខ្លួនឯងក្នុងជំនាញម្យ៉ាង ព្យាយាមកសាងកោសល្យដទៃ
189 Struggles to overcome the barriers to the bacter turned off,១៨៩ តស៊ូជំនះឧបសគ្គរារាំង ឆ្លងផុតរនាំងបែរក្រោយញញឹម
"190 Earth, near the flat, leaving the long-rounded","១៩០ ផែនដី, នៅជិតរាងសំប៉ែត ចាកឆ្ងាយអនេកទើបឃើញរាងមូល"
191 suck the wind into the sowdown the mouth,១៩១ បឺតខ្យល់ចូលក្នុងពោះ ទើបមាត់ព្រួសចេញបានឆ្ងាយ
192 Women before knowing the road,១៩២ វង្វេងផ្លូវមុន ស្គាល់ផ្លូវតាមក្រោយ
"193 When it was hungry, burning in the spring of the prayer, the prayers were filled, or continued to change their rivers when",១៩៣ ពេលឃ្លាន អុជធូបអុជទាន បន់អោយឆ្អែតបាយ ឬក៏ ធ្វើការបន្ដ ប្ដូរបាយមួយពេល
194 Before the goals in the streets,១៩៤ មុនសំរេចគោលដៅ ឈានជំហានចូលក្នុងវិថីនោះសិន
195 One step forward one step closer to the target,១៩៥ មួយជំហានទៅមុខ មួយជំហានកាន់តែជិតដល់គោលដៅ
196 Don't ask how to deal with problems? Review the problem of solution,១៩៦ កុំសួរថាតើត្រូវដោះស្រាយបញ្ហាដោយវិធីណា? ពិនិត្យអង្កេតបញ្ហា ដំណោះស្រាយកើតចេញមកឯង
"197 Away with the heavy horizon, having a burden of seeking in the middle face, if you do not want to find out",១៩៧ ឆ្ងាយដល់ជើងមេឃគង់ប្រទះ មានចិត្តថ្លាជ្រះចង់ស្វែងរក ទោះនៅនឹងកមុខកណ្ដាលគោក បើមិនចង់រកច្បាស់មិនឃើញ
"198 Consolessing as cold as water as water, cheeks, treasures, hots, as are",១៩៨ សំដីលួងលោម ត្រជាក់ដូចទឹកអម្រិត សំដីអប់រំពិត ក្ដៅដូចព្រះអគ្គី
"199 Just a fair meaning of figurous sophistically, a wonderful basis requires thought",១៩៩ អត្ថន័យចំៗ គ្រាន់បន្លំភ្នែក ន័យធៀបល្អប្លែក ទាមទារការគិត
200 Ancient scholars never told it to be able to be able to understand all the doctrines wisely,២០០ អ្នកប្រាជ្ញបុរាណមិនដែលប្រាប់ត្រង់ តែចង់តំរង់ អោយគ្រប់ឯកអង្គ យល់ដោយប្រាជ្ញា អត្មាអង្គឯង
201 The Stamp deficit is the law of Khmer sculptors,២០១ ក្បួន ខ្នាត បាត ត្រា ជាច្បាប់តម្រា នៃជាងចម្លាក់ខ្មែរ
202 The living priest has interpreting him as far as the,២០២ អាចារ្យនៅរស់មានការបកស្រាយ លោកឃ្លាតចាកឆ្ងាយសល់ត្រឹមឯកសារ
203 Distribute the story of the Terms of Terms,២០៣ ចែករឿងបណ្ដាំ តាមចំណាំ ប្រតិកម្មស្ដែងពីនិស្ស័យ
204 Diamond becomes pebble because the person is unclear,២០៤ ពេជ្រក្លាយជាគ្រួស ព្រោះបុគ្គល ស្គាល់មិនច្បាស់
205 Knowledge to grow enforcement,២០៥ ចំណេះនៅស្ទើរត្រូវដុះខាត់ រៀនសូត្រប្រតិបត្តិអោយចំរើន
206 Where there is no difference to pursue foolishness by finding knowledge,២០៦ ខ្វះខាតត្រង់ណាត្រូវចេះបំពេញ ដេញភាពល្ងង់ចេញដោយស្វែងចំណេះ
"207 All advice, the benefit of passing through",២០៧ គ្រប់ដំបូន្មានជាប្រយោជន៍ ជាបទពិសោធន៍ដែលឆ្លងកាត់
208 Kindly generously commercial,២០៨ សប្បុរសជាប្រចាំ ពាណិជ្ជកម្មបង្កើនធន
209 Wanders of all ties trying new experimentation,២០៩ ត្រាច់ចរគ្រប់ច្រកល្ហក ព្យាយាមដកពិសោធន៍ថ្មី
"210 Don't expect too high, lest not bring pain",២១០ កុំរំពឹងខ្ពស់ហួសប្រមាណ ក្រែងលោមិនបាននាំឈឺចាប់
211 Dark quotes in pain when infant is treated,២១១ ស្រង់ងងឹតដោយពន្លឺ ពេលប្រាណឈឺត្រូវព្យាបាល
"212 Over-great wood, a little wood, a little woodmor",២១២ ឈើធំហួសមាឌ ខ្យល់បក់រលំ ឈើតូចសុខុម រេរាំតាមខ្យល់
213 Spending the right money brings the cost of destruction because not thinking,២១៣ ចាយប្រាក់ត្រឹមត្រូវនាំនូវប្រយោជន៍ ចាយប្រាក់ហិនហោចព្រោះមិនបានគិត
"214 It's awakened to smoothly, wake up to go",២១៤ ភ្ញាក់ដោយខ្លួនឯងទៅដោយរលូន ភ្ញាក់តាមគេជូនទៅបានតាមដឹក
"215 All laws of people, meditators before being transmitted in analysis",២១៥ គ្រប់ច្បាប់តម្រាមនុស្សអ្នកចារ មុនយកជាការឆ្លងការវិភាគ
216 A religion is the five notes because of men,២១៦ សាសនាមួយបែងជាប្រាំ កត់ចំណាំព្រោះតែមនុស្ស
217 Persons on barns are always trying to cope with food,២១៧ មាន់ក្រាបពងលើជង្រុកតែងចឹកស្រូវ បក្សីសួគ៌ស៊ូទ្រាំនៅចាំអាហារទេព
"218 Good meals in the proverb's ingredients, highly delicious, delicious when thinking",២១៨ អាហារឆ្ងាញ់ដោយគ្រឿងផ្សំ សុភាសិតឧត្តមឆ្ងាញ់ពេលបានគិត
"219 The high stems of coconut cocaine, pumpkin, pumpkin",២១៩ ដើមទាបដុះផ្លែដូង ដើមខ្ពស់ច្រូងដុះផ្លែល្ពៅ
220 Eye plus the intellectual birth to the Grace to the opening of the discovery system of truth,២២០ ភ្នែក បូក បញ្ញា កើតចេញព្រះនេត្រទិព្វ បើកក៏ឃើញ បិទក៏ឃើញ របបគំហើញនៃសច្ចៈភាព
221 Remove thorns from the wheelchair of the wheels taken in the fence,២២១ ដកបន្លាពីផ្លូវកង់ យកទៅស្រាស់តាមរបង
"222 Digging the pond of rain, irregularly irregular rainfall",២២២ ជីកស្រះទុកទឹកភ្លៀង រាំងស្ងួតមិនទៀងទុកធ្វើស្រែ
"223 Traffic Traffic Movies, the more expanded to expand the city",២២៣ ចរាចរណ៍ស្ទះធ្វើស្ពានអាកាស បើកាន់តែស្ទះត្រូវពង្រីកក្រុង
"224 Save clean water again, can't lead to drainage drop in the drain, often triggering difficulties to relax the medication of text",២២៤ សន្សំទឹកស្អាតប្រើប្រាស់ជាថ្មី កុំនាំខ្ជះខ្ជាយបង្ហូរតាមលូ នាំតែលំបាកខំប្រឹងគិតគូរ ប្រើថ្នាំបន្ធូរចំរោះសារជាតិ
225 People destroy the natural natural disasters if ignored,២២៥ មនុស្សបំផ្លាញធម្មជាតិ គ្រោះមកច្រើនទៀតបើមិនអើពើ
226 Happy people live in cities planning more city,២២៦ មនុស្សខំបញ្ជ្រៀតរស់នៅទីក្រុង រៀបគ្រោងបំរុងសាងក្រុងបន្ថែម
227 A large car rides alone toxic hects of pools,២២៧ រថយន្ដធំមួយជិះតែម្នាក់ឯង បំពង់ហុយផ្សែងពុលពេញទាំងក្រុង
"228 Categories, some of the wastes can benefit some recruiting frameworks",២២៨ ទុកដាក់ប្រភេទកាកសំណល់ ខ្លះអាចផ្ដល់ផលប្រើឡើងវិញ ខ្លះយកចំរាញ់មិនទោម្នេញ កែច្នៃរៀបចេញប្រយោជន៍ថ្មី
"229 Get into the pagoda, don't forget the shower",២២៩ ចូលវត្តកុំភ្លេចពានា បូជាកុំភ្លេចផ្កាឈូក
230 The Sabbish feast of the potent cannot be mixed,២៣០ សំពាយបុណ្យបាបជាប់នឹងប្រាណ មិនអាចរុញច្រានលាយឡំគ្នា
231 The Visit Routes Explanted a Visession of Visa,២៣១ សម្មាទិដ្ឋិនាំផ្លូវភ្លឺស្វាង មច្ឆាទិដ្ឋិរារាំងដំណើរ
"232 The families of the glorious families have broken families, the homeless",២៣២ គ្រួសារចុះសម្រុង កូនចៅរុងរឿង គ្រួសារបែកបាក់ កូនចៅអនាថា
"233 And above the highlands, the beach cluster of the Gulf of the Beach, is pleased to see the village's villagers",២៣៣ ឡើងកំពូលភ្នំក្រលេកមកក្រោម ឃើញក្រុមចង្កោមឈូងសមុទ្រកម្ម កូនកោះសប្បាយស្រុកមើលបំណាំ អ្នកភូមិប្រចាំទីលានឈ្នានីស
"The river Trinkle Conflict is in the river trek, follows the feast of the feast of the ox",ភ្នំភ្លើងជំលោះត្រពាំងទឹកភ្នែក ស្ទឹងបាបជាប់ព្រែកបុណ្យធ្វើតាមរិះ គោស្រែកមនុស្សរោទ្រហ៊ោពេលនេះ ពេលណាផ្កាម្លិះឃ្លាតចាកហត្ថា
"234 Measure the surface of the oral line from the mouth to measure?

235 Go to the house, Hello, the master must wait for the clergy","២៣៤ វាស់ផ្ទៃក្រឡាត្រូវការបន្ទាត់ សំដីពីមាត់យកអ្វីមកវាស់?

២៣៥ ទៅលេងផ្ទះគេជំរាបសួរម្ចាស់ ត្រូវចាំអោយច្បាស់ទំនៀមបុរាណ"
"236 Eating eye foods are quick to look at the old, he needs",២៣៦ ទទួលទានអាហារភ្នែកត្រូវរហ័ស ក្រឡេកមើលចាស់លោកត្រូវការអ្វី
"237 It is at home, the name of the meal, diffuses in stink because of the act",២៣៧ ខ្លួននៅនឹងផ្ទះឈ្មោះនៅឯនាយ ក្លិនស្អុយសាយភាយព្រោះតែទង្វើ
"238 Go to the farm house, do not, whatever we need to ask, do not have thoughts because of your friends",២៣៨ ទៅលេងផ្ទះអ្នកស្រែចំការ កុំបេះផ្លែផ្កាតាមទំនើងចិត្ត ចង់បានត្រូវសុំកុំមានគំនិត ព្រោះតែញាតិមិត្តធ្វើតាមចិត្តឯង
"239 When the old lads you, tell you, screaming, and nearly,",២៣៩ ពេលចាស់ស្រែកសួរហាមស្រែកទៅវិញ ដើរជិតចាំស្ញេញឆ្លើយតាមទំនង
240 Hands a Handbook works in Nara Parka suits,២៤០ ដៃមួយស្រណុក ដៃមួយធ្វើការ រណាប៉ាកា សាកសមនឹងកាន់
"241 The Mekong River can split territories into two biodiversity, everywhere, a prosperous kingdom",២៤១ ទន្លេមេគង្គប្រភពចំលែក អាចពុះខណ្ឌចែកដែនដីជាពីរ ជីវចំរុះមានគ្រប់ទិសទី បើចេះសាមគ្គីនគររុងរឿង
"242 Close the death of the dead, open the respiratory holes",២៤២ បិទរន្ធដង្ហើមស្លាប់ បើករន្ធដង្ហើមមានផ្លូវ
243 blank every day but not the last days,២៤៣ ទំនេររាល់តែថ្ងៃ តែមិនមែនថ្ងៃចុងក្រោយ
244 What appreciation of the Appans leave,២៤៤ សេចក្ដីបារម្មណ៍ភាពអប្សុក ទុកធ្វើអ្វី ចោលអោយឆ្ងាយ កាយនឹងស្បើយ
245 Don't argue the two things in charge,២៤៥ កុំប្រកែករកខុសត្រូវ រឿងពីរមិនត្រូវគ្នាផងនោះ
"246 Live for the benefit of the world, but it is refreshed in the family",២៤៦ រស់នៅដើម្បីជាប្រយោជន៍ពិភពលោក តែជ្រកក្រោមម្លប់គ្រួសារ
247 crocodiles try to look,២៤៧ ក្រពើប្រឹងហែក ក្អែកប្រឹងសម្លឹង
"248 Now, at home, for the house, they have to be found",២៤៨ នៅផ្ទះយើងធ្វើតាមចិត្ត ត្បិតផ្ទះគេត្រូវកោតក្រែង
"249 Does love to look at the beauty of courtesy courtsy, the meat of the house, and the house is up to two",២៤៩ ស្រឡាញ់ស្ម័គ្រស្មោះ មិនមើលសម្រស់ គិតលើចរិយា សុជីវធម៌ សុភាពរាបសា មង្គលគ្រួសារ សាងឡើងពីរប្រាណ
"250 The face of the face to love the face, wrinkle, hair, hair, hair, and new, amazingly not the beauty, in the end",២៥០ ផាត់មុខធ្វើសក់អោយគេស្រឡាញ់ មុខជ្រួញសក់កណ្ដាញ់គេច្បាស់រកថ្មី នេះសបញ្ជាក់ស្ម័គ្រសម្រស់ថ្លៃ មិនមែនភក្ដីស្ម័គ្រលុះអវសាន
"251 Wet wooden wet wooden lucrative wood, dry disorders, design",២៥១ ឈើសើមត្រូវហាលថ្ងៃ ឈើស្ងួតកែច្នៃថ្វីដៃរចនា
"252 Acids plus salt plus salty plus salt water, never see",២៥២ អាស៊ីតបូកបាស ចេញអំបិលបូកទឹក សូត្រចាំឡើងសឹក មិនដែលឃើញផ្ទាល់
"253 And gone out of the shack, the Bophuku Agum, guard the country",២៥៣ អស់ហ្វូងកន្លង់ចោមរោមបុប្ផា គជសីហ៍យាត្រាយាមដែនបុរី
"254 Meanwhile, the feast of the feast of sin",២៥៤ ចិត្តបុណ្យ សំដីបុណ្យ ចិត្តបាប សំដីបាប
"255 When a friend is distressed, I was near to the friend of hardships",២៥៥ ពេលមិត្តមានទុក្ខមានខ្ញុំនៅក្បែរ នាំមិត្តល្ហើយល្ហែឆ្លងគ្រាលំបាក
"256 Rurgeously, do not have to do not have to continue to continue, however, have me to bring in a journey of life",២៥៦ រាសីឡើងចុះរកស្មានមិនត្រូវ តែយើងមានផ្លូវត្រូវដើរបន្ដ ទោះជាយ៉ាងណាមានខ្ញុំកំដ នាំមិត្តបន្ដវិថីជីវិត
"257 Everything is hopeful, let's get a happy thing to forget the sadness to open my heart",២៥៧ អ្វីៗគ្រប់យ៉ាងសុទ្ធមានសង្ឃឹម ចូរមិត្តញញឹមផ្ដើមរឿងរីករាយ បំភ្លេចអោយអស់ទុក្ខសោកទាំងឡាយ បើកចិត្តសប្បាយនឹងរឿងដែលល្អ
"258 When the heart is shocked, it is committed to quiet, there is a crisis training in training",២៥៨ ពេលចិត្តអំពល់រើជ្រួលច្របល់ តាំងចិត្តតម្កល់អោយនៅស្ងៀមស្ងាត់ ពិតមែនកំពុងតែមានវិបត្តិ ខិតខំហ្វឹកហាត់ទប់ចិត្តទប់អារម្មណ៍
259 Time is a medicinal medicine,២៥៩ វេលាជាឱសថ សង្វេគឆ្លងផុត មង្គលមកដល់
260 Disclosion Sports Disturbed Calibutions Blowing Likes Red Tags Label Red Gold Struck Gold Streak Tags,២៦០ កីឡាកខុសល្មើសនឹងក្រិតក្រម អាជ្ញាកណ្កាលផ្លុំលើកស្លាកក្រហម កីឡាកទាញស្លាកមាសប្រឈម អាជ្ញាកណ្ដាលសូមគោរពវន្ទា
"261 Observations overturns to follower, the peaking",២៦១ អង្កេតអោយគ្រប់ជ្រុងជ្រោយ ក្រែងថ្លោះធ្លោយយល់តែមួយជ្រុង
262 Doing everything for this fun friend is not afraid of,២៦២ ធ្វើអ្វីគ្រប់យ៉ាងអោយមិត្តសប្បាយ មិនខ្លាចនឿយណាយនេះជាបំណង
"263 The idea of ​​the clear idea, double the complex idea",២៦៣ ព្រលឹម គំនិតថ្លា ប្រាជ្ញាជ្រះ ព្រលប់ គំនិតស្មុគ សំបុកស្មាញ
264 Get ready for the future that will come to Head time as the first person to receive that opportunity,២៦៤ ត្រៀមខ្លួនដើម្បីអនាគតដែលនឹងមកដល់ វេលាហុចផលអ្នកជាមនុស្សទីមួយដែលទទួលឱកាសនោះ
"265 The Great Giver of Infound, remember as a period of competing competition",២៦៥ សម័យសកលភាវូបនីយកម្ម ចូរចងចាំជាសម័យនៃការប្រកួតប្រជែងសមត្ថភាព
268 Strong commitment can overcome the challenges you can imagine,២៦៨ ការតាំងចិត្តដ៏មុតមាំ អាចជំនះនូវឧបសគ្គដែលអ្នកនឹកស្មានមិនដល់
"269 ​​Always there must be hope, however, is there to collisions with difficulties",២៦៩ ត្រូវតែមានក្ដីសង្ឃឹមជានិច្ច ទោះត្រូវប៉ះទង្គិចនឹងផលលំបាកយ៉ាងណាក៏ដោយ
270 Life is struggling to finally have finally called a struggle,២៧០ ជីវិតជាការតស៊ូ តស៊ូដល់ទីបំផុតទើបហៅថាជាការតស៊ូ
271 Increase Surbility by regular observation and thinking,២៧១ បង្កើនភាពវាងវៃ ដោយការអង្កេត និង ការគិតជាប្រចាំ
272 You will apologize me when you judge my body by overlooking my ability,២៧២ អ្នកនឹងសុំទោសខ្ញុំ ពេលដែលអ្នកវិនិច្ឆ័យសំបកកាយខ្ញុំ ដោយមើលរំលងនូវសមត្ថភាពរបស់ខ្ញុំ
273 The hero occurs every time life and justice is abused,២៧៣ វិរៈជនកើតឡើង គ្រប់ពេលដែល ជីវិត និង យុត្តិធម៌ ត្រូវបានបំពាន
274 You will become a hero if you step down in the path of hero,២៧៤ អ្នកនឹងក្លាយជាវីរៈជន ប្រសិនបើអ្នកឈានជើងចូលក្នុងផ្លូវរបស់វិរៈជន
"Reals of reality do not demand admiration or quick as a headquest 

But it is to do what they want to follow their ability to do","វិវៈជនពិតប្រាកដ មិនទាមទារការកោតសរសើរ ឬ រហ័សនាមជាវិរៈជន 

តែគឺការធ្វើអ្វីដែលគេចង់ធ្វើតាមសមត្ថភាពដែលគេអាចធ្វើបាន"
"275 In times of experience in a bright spirit, creative creativity happened",២៧៥ ពេលជួបប្រទះនូវបញ្ហា ប្រាជ្ញាភ្លឺថ្លាភាពច្នៃប្រឌិតកើតឡើង
276 Leaders' options have to benefit people throughout the country,២៧៦ ជំរើសរបស់មេដឹកនាំ ត្រូវផ្ដល់ផលដល់មនុស្សទូទាំងប្រទេស
"277 I and you, if you're my",២៧៧ ខ្ញុំនិងអ្នក ចុះបើអ្នកជាខ្ញុំ
278 If I slept me and my family certainly became dead,២៧៨ បើខ្ញុំគេង ខ្ញុំនិងក្រុមគ្រួសារខ្ញុំប្រាកដជាដាច់ពោះស្លាប់
279 My heart smiles the rainwater of my excitement shed,២៧៩ បេះដូងខ្ញុំញញឹម ទឹកនេត្រានៃក្ដីរំភើបរបស់ខ្ញុំស្រក់ចេញមក
"280 In the hearts of the heart, the light of the lights shin offs out of the blade of bliss, and calling for a festive merchor",២៨០ ក្នុងចិត្តបរិសុទ្ធត្រេកអរពន់ពេក ពន្លឺផ្លេកៗចាំងចេញមកក្រៅ សេចក្ដីរំភើបដក់ជាប់ក្រអៅ នេះហើយគេហៅកុសលផលបុណ្យ
281 Local persons testament to dignity,២៨១ មនុស្សប្រកបដោយវិន័យ ជាសក្ខីនៃភាពថ្លៃថ្នូរ
"282 The quite a soft, quiet, quiet, unclaimed words",២៨២ សំដីប្រកបដោយសម្លេងថេរ ទន់ភ្លន់ ស្ងប់ ជាសំដីដែលមិនប្រើអារម្មណ៍មកនិយាយ
283 Clothing covered the body's body mornsy,២៨៣ សំលៀកបំពាក់បិទបាំងរាងកាយ សំបកកាយបិទបាំងចិត្តគំនិត
284 The dark man believes in one side of the bright man,២៨៤ មនុស្សងងឹត តែងជឿលើមនុស្សភ្លឺមួយចំហៀង
One bright person always surrendered to both sides,មនុស្សភ្លឺមួយចំហៀង តែងចុះចាញ់មនុស្សភ្លឺទាំងសងខាង
"285 As long as there is light in your heart, if the earth is dark, we are creative to lighten him",២៨៥ ដរាបណាមានពន្លឺក្នុងចិត្ត ទោះផែនដីងងឹត យើងគង់ចេះច្នៃប្រឌិតបំភ្លឺលោកបាន
"286 The shoulder 286 The shoulder of the right of his mother shoulder, his sorrow, and his threshing of the throne",២៨៦ ស្មាស្ដាំរែកម្ដាយ ស្មាឆ្វេងរែកឪពុក រំសាយទុក្ខលោក បានស្បើយលើបល្ល័ង្ក
"287 People cannot do more work at the same time, but people can divide multiple jobs",២៨៧ មនុស្សមិនអាចបែងភាគទៅធ្វើការងារច្រើនក្នុងពេលតែមួយ តែមនុស្សអាចបែងចែកពេលវេលាធ្វើការងារច្រើនក្នុងពេលមួយថ្ងៃ
"288 All things are in your hand, do things for themselves, family, society, society, and world",២៨៨ អ្វីៗទាំងអស់ឋិតក្នុងដៃអ្នក ចូរធ្វើអ្វីអោយមានប្រយោជន៍ សម្រាប់ខ្លួនឯង គ្រួសារ សង្គមជាតិ និង ពិភពលោក
"289 The Khmer temple in the century records the history of the Khmer issue if you read, see that Khmer is a wise man",២៨៩ ប្រាសាទខ្មែរតាំងនៅរយសតវត្ស កត់ត្រាប្រវត្តិរឿងរបស់ខ្មែរ បើអ្នកចេះអានចេះយល់ចេះថែ គង់ដឹងថាខ្មែរជាពូជអ្នកប្រាជ្ញ
290 The truth knows the truth,២៩០ ត្រាស់ដឹង ដឹងដោយខ្លួនឯងនូវសច្ចៈភាព
"291 Occasionally, angels of the angel boared, wisdom, self-bright,",២៩១ ដោះប្រស្នាជាមួយទេវតា ដុះខាត់ប្រាជ្ញាខ្លួនឯងអោយភ្លឺថ្លា
292 Look at the nature of the animal that should educate the individual who needs the need,២៩២ ប្រមើលមើលនិស្ស័យសត្វលោកដែលគួរប្រោស ការអប់រំដល់បុគ្គលដែលត្រូវការពុទ្ធិដោយចិត្តស្មោះ
293 Training softly,២៩៣ ហ្វឹកហាត់កាយា ចរិយាទន់ភ្លន់ ហត្ថាល្វតល្វន់ រក្សាវប្បធម៌
294 Natural beauty posts Chama Chea Khemara keeps traditions,២៩៤ សម្រស់ធម្មជាតិបង្អួតលោកា ជាជាតិខេមរារក្សាប្រពៃណី
295 Jerze Team to cake up in Khemara to join a bright radical understanding,២៩៥ សំលេងតន្រ្ដី ប្រឹងដាស់ស្មារតី ដល់ជាតិខេមរា ចូលរួមស្មគ្រថែ យល់ដឹងសិក្សា រស្មីភ្លឺថ្លា ត្រចះត្រចង់
"296 The Sincon, not at persecution, just exhorting the creatures to live in peace",២៩៦ សេចក្ដីស្ងប់ មិនបៀតបៀន គ្រាន់ទូន្មាន ដល់សត្វលោក ខំរស់នៅ ត្រូវយល់យោគ ចេះស្វែងរក សន្ដិភាព
"297 fragile life falls in a burning pire in the power in the power of the power child, the occasional opportunity to study",២៩៧ ជីវិតផុយស្រួយធ្លាក់ក្នុងរណ្ដៅ ឆេះខ្លួនសន្ធៅក្នុងដែនអគ្គី នេះជាជីវិតកុមារទ័លទី ឱកាសមូលមីត្រូវខំសិក្សា
"298 Well, drown, sleep on the idiots of the pregican, to you move from the ground to the ground",២៩៨ គួរអោយសង្វេគ លង់លក់ដំណេក លើផែនធរណី ដែលជនអប្រិយ ប្រល័យជីវី អោយអ្នកផ្លាស់ទី ពីកមកដី
"299 Field flies, trash, trash, truly waste houses, fug",២៩៩ សត្វរុយជាមិត្ត វាលសំរាមពិតជាផ្ទះ កាកសំណល់រលួយរលេះជាអាហារ
300 Febru Bundcha made a flower of nightming on the same nighttime,៣០០ ដប់បួនកុម្ភៈ កន្លង់ប្រឹងទាក់ ផ្កាបើកស្រទាប់ រាត្រីកន្លង ផ្សងជួបគូគាប់ តែបែរអភព្វ អសោចមួយជាតិ
301 High school students hold to TMs mobile phones to find sweethearers to negotiate trigger,៣០១ សិស្សវិទ្យាល័យ កាន់ទូរស័ព្ទដៃ លេងTMS ចង់រកសង្សារ ចរចារកៀវកេះ កេះដល់របេះ ដាច់តម្លៃខ្លួន
"302 Azero, the mother, mother, mother, mother, mother, months, years, including the year, in order to wait for the right eye to the right hand",៣០២ អាសូរហូលខ្មែរ អាវប៉ាក់ម្ដាយថែ រាប់ខែរាប់ឆ្នាំ តំរៀបជាជួរ បន្ដរងចាំ តាញាក់ភ្នែកស្ដាំ កៀកដៃកើយស្មា
"303 Sorya sinks a little boyfriend, kidneys should be like a petriola shade of shadows",៣០៣ សូរិយារៀបលិច លាម្ដាយតិចៗ កូនទៅរៀនគួរ ម៉ូតូហ្វីណូ ធ្វើខ្លួនដូចតួ ម្លប់ជ្រៃសមគួរ គ្មានខ្មាស់ចន្រ្ទា
"304 Tomorrow morning to revive the hearts of the youngsters, and the beauty is preserved by the diamond",៣០៤ ព្រឹកស្អែកថ្ងៃថ្មី ទើបភ្ញាក់ស្មារតី អ្វីៗខុសអស់ ជួយប្រាប់យុវតី អោយចេះស្រណោះ ខ្លួនប្រាណសម្រស់ រក្សាដូចពេជ្រ
"305 My son, dear, daughter, mamen, daughter, daughter, son, man, man, heartbeat",៣០៥ កូនអើយកូនស្រីអាសូរម្ដាយផង ខំបីត្រកងថែតាំងពីតូច ម្ដេចឡើយកូនលង់ជឿប្រុសកំហូច បង់កាយខ្ទេចខូចវិប្បដិសារី
"306 The fame of the mad of Representatives are good in a woman in a woman in the way, and the happens",៣០៦ ផ្ទាំងសំពត់ស កិត្តិនាមបវរ ល្អដល់សន្ដាន ជាកុលស្រ្ដី ដើរតាមលំអាន នោះទើបកូនបាន សុភមង្គល
"307 Young love, as open as combat combat, touching the primary knowledge in order to be desirable",៣០៧ ស្នេហាវ័យក្មេងឆួលដូចចំហេះ ប៉ះឆេះប៉ះឆេះបើចង់សាកល្បង ស្វែងរកចំណេះជំនាញចំបង ទើបសមបំណងវេលាសមគួរ
"308 Cool, brill, emotionally entertained to the picture",៣០៨ ភ្លើងស្នេហ៍ត្រជាក់ទាក់ចិត្តអោយចូល កកដល់បណ្ដូលរើខ្លួនលែងរួច
"309 Different at the same time, the lifetime of lifetime lifeters at the Test of Life's Crisis, because the negative thoughts",៣០៩ សាកខុសវេលា ដួងចិត្តគ្រាំគ្រា ពេញមួយជីវិត ស្លាកស្នាមដំបៅ តាមនៅនែបនិត្យ វិបត្តិជីវិត ព្រោះគំនិតខ្ចី
"310 Pacakais will make a clear writer from the file, the History of the Bophal from the Nep Channy",៣១០ ប៉ាកាចារផ្ទាល់នឹងក្រដាស់ គំនិតចេញច្បាស់មកពីស្មេរ ឯកសារប្រវត្តិពីបុពេ្វ គួរគិតរិះរេស្វែងហេតុផល
